Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,year_of_Journey,month_of_Journey,day_of_Journey,Duration_minute
Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,2,No info,7662,2019,5,1,445
Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2,No info,13882,2019,6,9,1140
IndiGo,Kolkata,Banglore,CCU → NAG → BLR,1,No info,6218,2019,5,12,325
IndiGo,Banglore,New Delhi,BLR → NAG → DEL,1,No info,13302,2019,3,1,285
SpiceJet,Kolkata,Banglore,CCU → BLR,0,No info,3873,2019,6,24,145
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,2019,3,12,930
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,22270,2019,3,1,1265
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,2019,3,12,1530
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1,No info,8625,2019,5,27,470
Air India,Delhi,Cochin,DEL → BLR → COK,1,No info,8907,2019,6,1,795
IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4174,2019,4,18,155
Air India,Chennai,Kolkata,MAA → CCU,0,No info,4667,2019,6,24,135
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,2019,5,9,730
IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4804,2019,4,24,155
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,14011,2019,3,3,1595
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1,No info,5830,2019,4,15,270
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,2019,6,12,1355
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2,No info,13381,2019,6,12,1380
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,2019,5,27,1235
GoAir,Delhi,Cochin,DEL → BOM → COK,1,No info,19495,2019,3,6,310
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,2019,4,3,170
IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4823,2019,5,1,175
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,7757,2019,5,6,800
